	question	equation
264	두 자리 수끼리의 곱셈에서 곱하는 수의 십의 자리 숫자 2를 6으로 잘못 보고 계산한 값이 2432가 되었습니다. 바르게 계산한 값이 912일 때, 2개의 두 자리 수 중 더 작은 수를 쓰시오.	<정수3> + <정수2> - <정수1>
265	어떤 수에 47를 더한 후 47를 곱하고, 9를 뺀 값을 9로 나누2713이 됩니다. 어떤 수를 구하시오.	(27 * 9 + 9) / 47 - 47
266	어떤 수에 14를 더한 후 14를 곱하고, 37를 뺀 값을 37로 나누1913이 됩니다. 어떤 수를 구하시오.	(19 * 37 + 37) / 14 - 14
267	어떤 수에 11를 더한 후 11를 곱하고, 8를 뺀 값을 8로 나누3913이 됩니다. 어떤 수를 구하시오.	(39 * 8 + 8) / 11 - 11
268	어떤 수에 46를 더한 후 46를 곱하고, 26를 뺀 값을 26로 나누4913이 됩니다. 어떤 수를 구하시오.	(49 * 26 + 26) / 46 - 46
269	어떤 수에 26를 더한 후 26를 곱하고, 8를 뺀 값을 8로 나누4313이 됩니다. 어떤 수를 구하시오.	(43 * 8 + 8) / 26 - 26
270	23에 어떤 수를 곱해야 하는데 잘못하여 어떤 수를 23로 나누었더니 11이 되었습니다. 바르게 계산한 결과를 구하시오.	23 * 11 * 23
271	30에 어떤 수를 곱해야 하는데 잘못하여 어떤 수를 30로 나누었더니 17이 되었습니다. 바르게 계산한 결과를 구하시오.	30 * 17 * 30
272	15에 어떤 수를 곱해야 하는데 잘못하여 어떤 수를 15로 나누었더니 45이 되었습니다. 바르게 계산한 결과를 구하시오.	15 * 45 * 15
273	37에 어떤 수를 곱해야 하는데 잘못하여 어떤 수를 37로 나누었더니 18이 되었습니다. 바르게 계산한 결과를 구하시오.	37 * 18 * 37
274	26에 어떤 수를 곱해야 하는데 잘못하여 어떤 수를 26로 나누었더니 23이 되었습니다. 바르게 계산한 결과를 구하시오.	26 * 23 * 26
275	은지이는 지우개를 7개 가지고 있습니다. 손자이는 지우개를 은지이보다 17개 더 많이 가지고 있고 할머니이는 손자이보다 6개 더 적게 가지고 있습니다. 지우개를 가장 적게 가지고 있는 사람은 누구입니까?	l = ['은지', '손자', '할머니']\nl2 = []\nl2.append(7)\nl2.append(a + 17)\nl2.append(b - 6)\nprint(l[l2.index(min(l2))])
276	윤기이는 지우개를 3개 가지고 있습니다. 형이는 지우개를 윤기이보다 9개 더 많이 가지고 있고 은지이는 형이보다 5개 더 적게 가지고 있습니다. 지우개를 가장 적게 가지고 있는 사람은 누구입니까?	l = ['윤기', '형', '은지']\nl2 = []\nl2.append(3)\nl2.append(a + 9)\nl2.append(b - 5)\nprint(l[l2.index(min(l2))])
277	어머니이는 지우개를 7개 가지고 있습니다. 유정이는 지우개를 어머니이보다 16개 더 많이 가지고 있고 오빠이는 유정이보다 19개 더 적게 가지고 있습니다. 지우개를 가장 적게 가지고 있는 사람은 누구입니까?	l = ['어머니', '유정', '오빠']\nl2 = []\nl2.append(7)\nl2.append(a + 16)\nl2.append(b - 19)\nprint(l[l2.index(min(l2))])
278	석진이는 지우개를 5개 가지고 있습니다. 손자이는 지우개를 석진이보다 14개 더 많이 가지고 있고 유나이는 손자이보다 10개 더 적게 가지고 있습니다. 지우개를 가장 적게 가지고 있는 사람은 누구입니까?	l = ['석진', '손자', '유나']\nl2 = []\nl2.append(5)\nl2.append(a + 14)\nl2.append(b - 10)\nprint(l[l2.index(min(l2))])
279	남준이는 지우개를 4개 가지고 있습니다. 정국이는 지우개를 남준이보다 16개 더 많이 가지고 있고 어머니이는 정국이보다 6개 더 적게 가지고 있습니다. 지우개를 가장 적게 가지고 있는 사람은 누구입니까?	l = ['남준', '정국', '어머니']\nl2 = []\nl2.append(4)\nl2.append(a + 16)\nl2.append(b - 6)\nprint(l[l2.index(min(l2))])
280	네 수 A, B, C, D가 있습니다. A는 10입니다. B는 A보다 14 큰 수입니다. C는 B보다 9 작은 수입니다. D는 C의 3배인 수입니다. 가장 큰 수는 어느 것입니까?	a = 10\nb = a + 14\n c = b - 9\nd = c * 3\nprint(max([a, b, c, d]))
281	네 수 A, B, C, D가 있습니다. A는 6입니다. B는 A보다 20 큰 수입니다. C는 B보다 19 작은 수입니다. D는 C의 7배인 수입니다. 가장 큰 수는 어느 것입니까?	a = 6\nb = a + 20\n c = b - 19\nd = c * 7\nprint(max([a, b, c, d]))
282	네 수 A, B, C, D가 있습니다. A는 14입니다. B는 A보다 17 큰 수입니다. C는 B보다 13 작은 수입니다. D는 C의 11배인 수입니다. 가장 큰 수는 어느 것입니까?	a = 14\nb = a + 17\n c = b - 13\nd = c * 11\nprint(max([a, b, c, d]))
283	네 수 A, B, C, D가 있습니다. A는 3입니다. B는 A보다 1 큰 수입니다. C는 B보다 16 작은 수입니다. D는 C의 12배인 수입니다. 가장 큰 수는 어느 것입니까?	a = 3\nb = a + 1\n c = b - 16\nd = c * 12\nprint(max([a, b, c, d]))
284	네 수 A, B, C, D가 있습니다. A는 19입니다. B는 A보다 13 큰 수입니다. C는 B보다 16 작은 수입니다. D는 C의 3배인 수입니다. 가장 큰 수는 어느 것입니까?	a = 19\nb = a + 13\n c = b - 16\nd = c * 3\nprint(max([a, b, c, d]))
285	호석이는 동생이보다 무겁고 누나이보다 가볍습니다. 형이는 누나이보다 무겁습니다. 4명 중 가장 가벼운 사람은 누구입니까?	print('동생')
286	어머니이는 할머니이보다 무겁고 조카이보다 가볍습니다. 태형이는 조카이보다 무겁습니다. 4명 중 가장 가벼운 사람은 누구입니까?	print('할머니')
287	유정이는 은지이보다 무겁고 언니이보다 가볍습니다. 민영이는 언니이보다 무겁습니다. 4명 중 가장 가벼운 사람은 누구입니까?	print('은지')
288	윤기이는 조카이보다 무겁고 손자이보다 가볍습니다. 태형이는 손자이보다 무겁습니다. 4명 중 가장 가벼운 사람은 누구입니까?	print('조카')
289	석진이는 지민이보다 무겁고 손녀이보다 가볍습니다. 누나이는 손녀이보다 무겁습니다. 4명 중 가장 가벼운 사람은 누구입니까?	print('지민')
290	할아버지이는 주스를 1.2l 마셨습니다. 조카는 할아버지이보다 4/3l 더 적게 마셨습니다. 할머니는 7/2l 마셨고, 유나는 할아버지이보다 1.64l 더 많이 마셨습니다. 주스를 가장 많이 마신 사람은 누구입니까?	l = ['할아버지', '조카', '할머니', '유나']\nl2 = []\nl2.append(1.2)\nl2.append(a - 4/3)\nl2.append(7/2)\nl2.append(a + 1.64)\nprint(l[l2.index(max(l2))])
291	어머니이는 주스를 1.6l 마셨습니다. 호석는 어머니이보다 4/3l 더 적게 마셨습니다. 조카는 10/4l 마셨고, 오빠는 어머니이보다 12.51l 더 많이 마셨습니다. 주스를 가장 많이 마신 사람은 누구입니까?	l = ['어머니', '호석', '조카', '오빠']\nl2 = []\nl2.append(1.6)\nl2.append(a - 4/3)\nl2.append(10/4)\nl2.append(a + 12.51)\nprint(l[l2.index(max(l2))])
292	아버지이는 주스를 1.6l 마셨습니다. 언니는 아버지이보다 9/1l 더 적게 마셨습니다. 할아버지는 11/4l 마셨고, 이모는 아버지이보다 1.12l 더 많이 마셨습니다. 주스를 가장 많이 마신 사람은 누구입니까?	l = ['아버지', '언니', '할아버지', '이모']\nl2 = []\nl2.append(1.6)\nl2.append(a - 9/1)\nl2.append(11/4)\nl2.append(a + 1.12)\nprint(l[l2.index(max(l2))])
293	동생이는 주스를 3.3l 마셨습니다. 아버지는 동생이보다 10/10l 더 적게 마셨습니다. 할아버지는 1/3l 마셨고, 삼촌는 동생이보다 6.516l 더 많이 마셨습니다. 주스를 가장 많이 마신 사람은 누구입니까?	l = ['동생', '아버지', '할아버지', '삼촌']\nl2 = []\nl2.append(3.3)\nl2.append(a - 10/10)\nl2.append(1/3)\nl2.append(a + 6.516)\nprint(l[l2.index(max(l2))])
294	어머니이는 주스를 0.36l 마셨습니다. 조카는 어머니이보다 2/6l 더 적게 마셨습니다. 언니는 5/2l 마셨고, 호석는 어머니이보다 0.5l 더 많이 마셨습니다. 주스를 가장 많이 마신 사람은 누구입니까?	l = ['어머니', '조카', '언니', '호석']\nl2 = []\nl2.append(0.36)\nl2.append(a - 2/6)\nl2.append(5/2)\nl2.append(a + 0.5)\nprint(l[l2.index(max(l2))])
295	삼각형의 변의 개수와 사각형의 변의 개수의 합을 구하시오.	3 + 4
296	삼각형의 변의 개수와 사각형의 변의 개수의 합을 구하시오.	3 + 4
297	삼각형의 변의 개수와 사각형의 변의 개수의 합을 구하시오.	3 + 4
298	삼각형의 변의 개수와 사각형의 변의 개수의 합을 구하시오.	3 + 4
299	삼각형의 변의 개수와 사각형의 변의 개수의 합을 구하시오.	3 + 4
300	오각형의 변의 개수와 육각형의 변의 개수의 합을 구하시오.	5 + 6
301	오각형의 변의 개수와 육각형의 변의 개수의 합을 구하시오.	5 + 6
302	오각형의 변의 개수와 육각형의 변의 개수의 합을 구하시오.	5 + 6
303	오각형의 변의 개수와 육각형의 변의 개수의 합을 구하시오.	5 + 6
304	오각형의 변의 개수와 육각형의 변의 개수의 합을 구하시오.	5 + 6
305	삼각형의 변의 개수와 팔각형의 변의 개수의 합을 구하시오.	3 + 8
306	삼각형의 변의 개수와 팔각형의 변의 개수의 합을 구하시오.	3 + 8
307	삼각형의 변의 개수와 팔각형의 변의 개수의 합을 구하시오.	3 + 8
308	삼각형의 변의 개수와 팔각형의 변의 개수의 합을 구하시오.	3 + 8
309	삼각형의 변의 개수와 팔각형의 변의 개수의 합을 구하시오.	3 + 8
310	한 변의 길이가 15cm인 정삼각형의 둘레는 몇 cm입니까?	15 * 3
311	한 변의 길이가 22cm인 정삼각형의 둘레는 몇 cm입니까?	22 * 3
312	한 변의 길이가 14cm인 정삼각형의 둘레는 몇 cm입니까?	14 * 3
313	한 변의 길이가 6cm인 정삼각형의 둘레는 몇 cm입니까?	6 * 3
314	한 변의 길이가 39cm인 정삼각형의 둘레는 몇 cm입니까?	39 * 3
315	한 변의 길이가 6cm인 정사각형의 둘레는 몇 cm입니까?	6 * 4
316	한 변의 길이가 4cm인 정사각형의 둘레는 몇 cm입니까?	4 * 4
317	한 변의 길이가 39cm인 정사각형의 둘레는 몇 cm입니까?	39 * 4
318	한 변의 길이가 26cm인 정사각형의 둘레는 몇 cm입니까?	26 * 4
319	한 변의 길이가 45cm인 정사각형의 둘레는 몇 cm입니까?	45 * 4
320	한 변의 길이가 5cm인 정육각형의 둘레는 몇 cm입니까?	5 * 6
321	한 변의 길이가 46cm인 정육각형의 둘레는 몇 cm입니까?	46 * 6
322	한 변의 길이가 44cm인 정육각형의 둘레는 몇 cm입니까?	44 * 6
323	한 변의 길이가 28cm인 정육각형의 둘레는 몇 cm입니까?	28 * 6
324	한 변의 길이가 2cm인 정육각형의 둘레는 몇 cm입니까?	2 * 6
325	한 변의 길이가 13cm인 정칠각형의 둘레는 몇 cm입니까?	13 * 7
326	한 변의 길이가 24cm인 정칠각형의 둘레는 몇 cm입니까?	24 * 7
327	한 변의 길이가 11cm인 정칠각형의 둘레는 몇 cm입니까?	11 * 7
328	한 변의 길이가 12cm인 정칠각형의 둘레는 몇 cm입니까?	12 * 7
329	한 변의 길이가 41cm인 정칠각형의 둘레는 몇 cm입니까?	41 * 7
330	길이가 36cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 가로 길이가 9cm일 때, 세로 길이는 몇 cm입니까?	(36 - 2 * 9) / 2
331	길이가 21cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 가로 길이가 39cm일 때, 세로 길이는 몇 cm입니까?	(21 - 2 * 39) / 2
332	길이가 25cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 가로 길이가 37cm일 때, 세로 길이는 몇 cm입니까?	(25 - 2 * 37) / 2
333	길이가 2cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 가로 길이가 48cm일 때, 세로 길이는 몇 cm입니까?	(2 - 2 * 48) / 2
334	길이가 44cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 가로 길이가 43cm일 때, 세로 길이는 몇 cm입니까?	(44 - 2 * 43) / 2
335	길이가 12cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 세로 길이가 25cm일 때, 가로 길이는 몇 cm입니까?	(12 - 2 * 25) / 2
336	길이가 17cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 세로 길이가 29cm일 때, 가로 길이는 몇 cm입니까?	(17 - 2 * 29) / 2
337	길이가 13cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 세로 길이가 43cm일 때, 가로 길이는 몇 cm입니까?	(13 - 2 * 43) / 2
338	길이가 36cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 세로 길이가 16cm일 때, 가로 길이는 몇 cm입니까?	(36 - 2 * 16) / 2
339	길이가 32cm인 철사로 직사각형을 만들었더니 철사가 남지도 모자라지도 않았습니다. 직사각형의 세로 길이가 39cm일 때, 가로 길이는 몇 cm입니까?	(32 - 2 * 39) / 2
340	한 변의 길이가 13cm인 정사각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	13 * 4 / 8
341	한 변의 길이가 14cm인 정사각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	14 * 4 / 8
342	한 변의 길이가 7cm인 정사각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	7 * 4 / 8
343	한 변의 길이가 13cm인 정사각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	13 * 4 / 8
344	한 변의 길이가 18cm인 정사각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	18 * 4 / 8
345	한 변의 길이가 19cm인 정삼각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	19 * 3 / 6
346	한 변의 길이가 3cm인 정삼각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	3 * 3 / 6
347	한 변의 길이가 4cm인 정삼각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	4 * 3 / 6
348	한 변의 길이가 16cm인 정삼각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	16 * 3 / 6
349	한 변의 길이가 12cm인 정삼각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	12 * 3 / 6
350	한 변의 길이가 18cm인 정팔각형과 둘레가 같은 정팔각형이 있습니다. 이 정오각형의 한 변의 길이는 몇 cm입니까?	18 * 8 / 5
351	한 변의 길이가 14cm인 정팔각형과 둘레가 같은 정팔각형이 있습니다. 이 정오각형의 한 변의 길이는 몇 cm입니까?	14 * 8 / 5
352	한 변의 길이가 13cm인 정팔각형과 둘레가 같은 정팔각형이 있습니다. 이 정오각형의 한 변의 길이는 몇 cm입니까?	13 * 8 / 5
353	한 변의 길이가 17cm인 정팔각형과 둘레가 같은 정팔각형이 있습니다. 이 정오각형의 한 변의 길이는 몇 cm입니까?	17 * 8 / 5
354	한 변의 길이가 18cm인 정팔각형과 둘레가 같은 정팔각형이 있습니다. 이 정오각형의 한 변의 길이는 몇 cm입니까?	18 * 8 / 5
355	한 변의 길이가 11cm인 정사각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	11 * 4 / 6
356	한 변의 길이가 2cm인 정사각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	2 * 4 / 6
357	한 변의 길이가 1cm인 정사각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	1 * 4 / 6
358	한 변의 길이가 17cm인 정사각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	17 * 4 / 6
359	한 변의 길이가 14cm인 정사각형과 둘레가 같은 정육각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm입니까?	14 * 4 / 6
360	둘레가 4cm인 직사각형이 있습니다. 이 직사각형의 가로 길이가 세로 길이의 5배일 때 가로는 몇 cm입니까?	4 / (2 * 5 + 2) * 5
361	둘레가 3cm인 직사각형이 있습니다. 이 직사각형의 가로 길이가 세로 길이의 6배일 때 가로는 몇 cm입니까?	3 / (2 * 6 + 2) * 6
362	둘레가 6cm인 직사각형이 있습니다. 이 직사각형의 가로 길이가 세로 길이의 7배일 때 가로는 몇 cm입니까?	6 / (2 * 7 + 2) * 7
363	둘레가 10cm인 직사각형이 있습니다. 이 직사각형의 가로 길이가 세로 길이의 1배일 때 가로는 몇 cm입니까?	10 / (2 * 1 + 2) * 1
364	둘레가 3cm인 직사각형이 있습니다. 이 직사각형의 가로 길이가 세로 길이의 2배일 때 가로는 몇 cm입니까?	3 / (2 * 2 + 2) * 2
